,dni,ghi,temperature
0,0.0,0.0,5.9
1,0.0,0.0,5.9
2,0.0,0.0,5.9
3,0.0,0.0,5.9
4,0.0,0.0,5.9
5,0.0,0.0,5.9
6,0.0,0.0,5.9
7,0.0,0.0,5.9
8,0.0,0.0,5.8
9,0.0,0.0,5.8
10,0.0,0.0,5.8
11,0.0,0.0,5.8
12,0.0,0.0,5.8
13,0.0,0.0,5.9
14,0.0,0.0,5.9
15,0.0,0.0,5.9
16,0.0,0.0,5.9
17,0.0,0.0,5.9
18,0.0,0.0,6.0
19,0.0,0.0,6.0
20,0.0,0.0,6.0
21,0.0,0.0,6.0
22,0.0,0.0,6.0
23,0.0,0.0,6.1
24,0.0,0.0,6.1
25,0.0,0.0,6.1
26,0.0,0.0,6.1
27,0.0,0.0,6.2
28,0.0,0.0,6.2
29,0.0,0.0,6.2
30,0.0,0.0,6.2
31,0.0,0.0,6.3
32,0.0,0.0,6.3
33,0.0,0.0,6.3
34,0.0,0.0,6.3
35,0.0,0.0,6.4
36,0.0,0.0,6.5
37,0.0,0.0,6.6
38,0.0,0.0,6.6
39,0.0,0.0,6.7
40,0.0,0.0,6.8
41,89.0,15.0,6.9
42,140.0,23.0,7.0
43,160.0,28.0,7.1
44,212.0,38.0,7.2
45,0.0,18.0,7.3
46,0.0,22.0,7.4
47,0.0,27.0,7.5
48,348.0,81.0,7.6
49,0.0,37.0,7.7
50,0.0,42.0,7.8
51,483.0,131.0,7.9
52,509.0,146.0,8.0
53,532.0,160.0,8.1
54,560.0,174.0,8.2
55,581.0,189.0,8.3
56,0.0,77.0,8.4
57,0.0,83.0,8.5
58,0.0,90.0,8.6
59,38.0,115.0,8.7
60,69.0,133.0,8.9
61,129.0,159.0,9.0
62,164.0,176.0,9.2
63,175.0,187.0,9.3
64,253.0,214.0,9.5
65,724.0,325.0,9.6
66,765.0,342.0,9.8
67,774.0,354.0,9.9
68,782.0,366.0,10.1
69,790.0,378.0,10.2
70,798.0,390.0,10.4
71,805.0,401.0,10.5
72,811.0,412.0,10.6
73,817.0,423.0,10.7
74,823.0,433.0,10.8
75,829.0,443.0,10.9
76,834.0,453.0,11.1
77,433.0,360.0,11.2
78,502.0,383.0,11.3
79,542.0,400.0,11.4
80,612.0,419.0,11.5
81,588.0,421.0,11.6
82,645.0,438.0,11.7
83,651.0,445.0,11.8
84,643.0,449.0,11.9
85,587.0,442.0,12.0
86,549.0,439.0,12.1
87,875.0,535.0,12.1
88,877.0,540.0,12.2
89,879.0,544.0,12.3
90,884.0,549.0,12.4
91,885.0,553.0,12.4
92,886.0,556.0,12.5
93,888.0,559.0,12.6
94,889.0,562.0,12.6
95,890.0,564.0,12.7
96,890.0,565.0,12.8
97,891.0,566.0,12.8
98,891.0,567.0,12.9
99,891.0,568.0,12.9
100,891.0,567.0,12.9
101,891.0,567.0,13.0
102,898.0,567.0,13.0
103,898.0,566.0,13.1
104,897.0,564.0,13.1
105,896.0,562.0,13.2
106,895.0,559.0,13.2
107,894.0,556.0,13.3
108,892.0,553.0,13.3
109,891.0,549.0,13.3
110,889.0,544.0,13.3
111,887.0,539.0,13.3
112,884.0,534.0,13.4
113,882.0,528.0,13.4
114,739.0,473.0,13.4
115,671.0,452.0,13.4
116,790.0,473.0,13.4
117,707.0,448.0,13.5
118,757.0,453.0,13.5
119,804.0,457.0,13.5
120,754.0,438.0,13.5
121,811.0,444.0,13.5
122,815.0,438.0,13.4
123,848.0,450.0,13.4
124,843.0,441.0,13.4
125,838.0,430.0,13.4
126,835.0,420.0,13.4
127,829.0,409.0,13.3
128,822.0,398.0,13.3
129,815.0,387.0,13.3
130,808.0,375.0,13.3
131,800.0,363.0,13.3
132,701.0,322.0,13.3
133,708.0,313.0,13.3
134,664.0,295.0,13.3
135,582.0,271.0,13.3
136,676.0,276.0,13.3
137,741.0,286.0,13.3
138,729.0,272.0,13.3
139,664.0,241.0,13.3
140,347.0,183.0,13.3
141,628.0,212.0,13.3
142,605.0,198.0,13.3
143,581.0,184.0,12.1
144,557.0,170.0,12.0
145,531.0,156.0,11.9
146,505.0,142.0,11.8
147,479.0,129.0,11.7
148,452.0,116.0,11.6
149,425.0,103.0,11.5
150,397.0,90.0,11.4
151,367.0,78.0,11.3
152,336.0,66.0,11.2
153,300.0,55.0,11.1
154,257.0,44.0,11.0
155,206.0,34.0,10.9
156,157.0,24.0,10.8
157,189.0,20.0,10.7
158,0.0,0.0,10.7
159,0.0,0.0,10.6
160,0.0,0.0,10.5
161,0.0,0.0,10.5
162,0.0,0.0,10.4
163,0.0,0.0,10.3
164,0.0,0.0,10.3
165,0.0,0.0,10.2
166,0.0,0.0,10.1
167,0.0,0.0,10.1
168,0.0,0.0,10.0
169,0.0,0.0,9.9
170,0.0,0.0,9.9
171,0.0,0.0,9.8
172,0.0,0.0,9.8
173,0.0,0.0,9.7
174,0.0,0.0,9.6
175,0.0,0.0,9.6
176,0.0,0.0,9.5
177,0.0,0.0,9.4
178,0.0,0.0,9.4
179,0.0,0.0,9.3
180,0.0,0.0,9.3
181,0.0,0.0,9.3
182,0.0,0.0,9.3
183,0.0,0.0,9.3
184,0.0,0.0,9.3
185,0.0,0.0,9.3
186,0.0,0.0,9.3
187,0.0,0.0,9.3
188,0.0,0.0,9.2
189,0.0,0.0,9.2
190,0.0,0.0,9.2
191,0.0,0.0,9.2
192,0.0,0.0,9.2
193,0.0,0.0,9.2
194,0.0,0.0,9.3
195,0.0,0.0,9.3
196,0.0,0.0,9.3
197,0.0,0.0,9.3
198,0.0,0.0,9.3
199,0.0,0.0,9.3
200,0.0,0.0,9.3
201,0.0,0.0,9.4
202,0.0,0.0,9.4
203,0.0,0.0,9.4
204,0.0,0.0,9.4
205,0.0,0.0,9.4
206,0.0,0.0,9.3
207,0.0,0.0,9.3
208,0.0,0.0,9.3
209,0.0,0.0,9.3
210,0.0,0.0,9.3
211,0.0,0.0,9.3
212,0.0,0.0,9.3
213,0.0,0.0,9.3
214,0.0,0.0,9.3
215,0.0,0.0,9.2
216,0.0,0.0,9.2
217,0.0,0.0,9.2
218,0.0,0.0,9.1
219,0.0,0.0,9.1
220,0.0,0.0,9.0
221,0.0,0.0,9.0
222,0.0,0.0,8.9
223,0.0,0.0,8.9
224,0.0,0.0,8.9
225,0.0,0.0,8.8
226,0.0,0.0,8.8
227,0.0,0.0,8.7
228,0.0,0.0,8.7
229,0.0,0.0,8.6
230,0.0,0.0,8.6
231,0.0,0.0,8.5
232,0.0,0.0,8.5
233,0.0,0.0,8.4
234,0.0,0.0,8.4
235,0.0,0.0,8.3
236,0.0,0.0,8.3
237,0.0,0.0,8.2
238,0.0,0.0,8.2
239,0.0,0.0,8.1
240,0.0,0.0,8.1
241,0.0,0.0,8.0
242,0.0,0.0,7.9
243,0.0,0.0,7.9
244,0.0,0.0,7.8
245,0.0,0.0,7.8
246,0.0,0.0,7.7
247,0.0,0.0,7.6
248,0.0,0.0,7.6
249,0.0,0.0,7.5
250,0.0,0.0,7.5
251,0.0,0.0,7.4
252,0.0,0.0,7.4
253,0.0,0.0,7.3
254,0.0,0.0,7.3
255,0.0,0.0,7.2
256,0.0,0.0,7.2
257,0.0,0.0,7.2
258,0.0,0.0,7.1
259,0.0,0.0,7.1
260,0.0,0.0,7.0
261,0.0,0.0,7.0
262,0.0,0.0,6.9
263,0.0,0.0,6.9
264,0.0,0.0,6.9
265,0.0,0.0,6.8
266,0.0,0.0,6.8
267,0.0,0.0,6.8
268,0.0,0.0,6.7
269,0.0,0.0,6.7
270,0.0,0.0,6.7
271,0.0,0.0,6.7
272,0.0,0.0,6.6
273,0.0,0.0,6.6
274,0.0,0.0,6.6
275,0.0,0.0,6.5
276,0.0,0.0,6.5
277,0.0,0.0,6.5
278,0.0,0.0,6.5
279,0.0,0.0,6.5
280,0.0,0.0,6.5
281,0.0,0.0,6.5
282,0.0,0.0,6.5
283,0.0,0.0,6.5
284,0.0,0.0,6.5
285,0.0,0.0,6.5
286,0.0,0.0,6.5
287,0.0,0.0,6.5
